YB,Lon,Lat,Vlsr,+/-,Dist,+/-,Integrated Probability,Arm,Distance,+/-,Integrated Probability,Arm
3197,105.95,0.49,-53.4,0.05,2.99,0.05,0.00,...,2.04,0.05,0.00,...
3198,105.96,0.42,-51.8,0.05,2.99,0.05,0.00,...,2.04,0.05,0.00,...
3199,105.97,0.74,-3.1,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3200,105.98,0.47,-43.5,0.05,3.01,0.05,0.00,...,2.08,0.05,0.00,...
3201,106.05,2.38,-9.7,0.00,0.80,0.00,0.00,...,0.00,0.00,0.00,...
3202,106.06,2.91,-4.8,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3203,106.07,0.36,-54.2,0.00,2.94,0.00,0.00,...,0.00,0.00,0.00,...
3204,106.11,0.93,-11.4,0.84,0.78,0.84,0.11,...,2.47,0.84,0.11,...
3205,106.14,0.10,-57.5,0.00,2.93,0.00,0.00,...,0.00,0.00,0.00,...
3206,106.14,0.13,-57.5,0.00,2.93,0.00,0.00,...,0.00,0.00,0.00,...
3207,106.15,2.66,-4.8,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3208,106.26,0.94,-60.8,1.06,2.87,1.06,0.21,...,5.67,1.06,0.21,...
3209,106.32,0.06,-55.9,0.00,2.94,0.00,0.00,...,0.00,0.00,0.00,...
3210,106.33,0.03,-56.7,0.00,2.94,0.00,0.00,...,0.00,0.00,0.00,...
3211,106.46,0.60,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3212,106.49,0.93,-13.0,0.89,0.79,0.89,0.14,...,2.28,0.89,0.14,...
3213,106.50,0.93,-13.0,0.89,0.79,0.89,0.14,...,2.28,0.89,0.14,...
3214,106.55,0.46,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3215,106.58,1.55,-18.0,0.85,0.80,0.85,0.40,...,2.47,0.85,0.40,...
3216,106.59,0.72,-12.2,0.85,0.78,0.85,0.14,...,2.48,0.85,0.14,...
3217,106.67,1.90,-61.6,1.06,2.64,1.06,0.35,...,5.82,1.06,0.35,...
3218,106.68,1.89,-61.6,1.06,2.78,1.06,0.35,...,5.82,1.06,0.35,...
3219,106.73,1.27,1.8,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3220,106.73,1.47,-8.9,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3221,106.74,1.33,2.7,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3222,106.89,0.89,-12.2,0.85,0.79,0.85,0.13,...,2.45,0.85,0.13,...
3223,106.91,1.11,1.0,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3224,106.91,0.63,-36.9,0.00,2.95,0.00,0.00,...,0.00,0.00,0.00,...
3225,106.92,0.61,-36.9,0.00,2.96,0.00,0.00,...,0.00,0.00,0.00,...
3226,106.93,1.10,1.8,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3227,107.00,1.14,1.8,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3228,107.09,2.19,-14.7,0.88,0.80,0.88,0.22,...,2.73,0.88,0.22,...
3229,107.19,2.01,1.8,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3230,107.22,2.88,-122.7,2.12,11.30,2.12,0.22,...,13.78,2.12,0.22,...
3231,107.25,-0.01,-3.9,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3232,107.25,2.93,-7.2,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3233,107.44,2.30,-12.2,0.00,0.80,0.00,0.00,...,0.00,0.00,0.00,...
3234,107.46,1.92,-16.3,0.89,0.80,0.89,0.32,...,2.66,0.89,0.32,...
3235,107.48,0.94,-11.4,0.88,0.79,0.88,0.12,...,2.43,0.88,0.12,...
3236,107.49,1.18,4.3,0.00,0.77,0.00,0.00,...,0.00,0.00,0.00,...
3237,107.50,2.43,-6.4,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3238,107.53,1.82,-7.2,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3239,107.54,1.82,-7.2,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
3240,107.55,2.87,-8.9,0.00,0.80,0.00,0.00,...,0.00,0.00,0.00,...
3241,107.63,2.11,-9.7,0.00,0.79,0.00,0.00,...,0.00,0.00,0.00,...
