YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,+/-,P(far),Extra
3165,105.1664788,2.923232753,0.006556917,-25.37267916,1.253475308,-25.37267916,2,0.2,0.2,0.2,5,0.5,none
3166,105.1739191,2.792221681,0.003206048,-99.57408096,0.315791279,-99.57408096,2,0.2,0.2,0.2,5,0.5,none
3167,105.2195172,0.318699137,0.00595515,-44.33525962,1.514734626,-44.33525962,2,0.2,0.2,0.2,5,0.5,none
3168,105.2382158,2.667081642,0.002024061,0.18558146,1.735537529,0.18558146,2,0.2,0.2,0.2,5,0.5,none
3169,105.2964793,0.164852433,0.00383898,-48.45755972,4.070905209,-48.45755972,2,0.2,0.2,0.2,5,0.5,none
3170,105.358239,0.933612418,0.005516057,-2.2877986,1.96765244,-2.2877986,2,0.2,0.2,0.2,5,0.5,none
3171,105.3644019,0.281606358,0.003423043,-53.40431984,2.946262836,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3172,105.3761282,0.786777058,0.003585628,-41.86187956,1.000274777,-41.86187956,2,0.2,0.2,0.2,5,0.5,none
3173,105.377344,2.699294075,0.002152535,-0.63887856,1.107071519,-0.63887856,2,0.2,0.2,0.2,5,0.5,none
3174,105.3814733,1.768526184,0.002034639,-139.9726219,0.317280769,-139.9726219,2,0.2,0.2,0.2,5,0.5,none
3175,105.3907983,2.857721792,0.005652459,-0.63887856,0.987033784,-0.63887856,2,0.2,0.2,0.2,5,0.5,none
3176,105.4369399,0.813310391,0.001999985,-3.93671864,1.756350279,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3177,105.5029934,0.624339899,0.004883801,-3.93671864,2.571767092,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3178,105.5086115,0.228626683,0.007356673,-53.40431984,5.767407417,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3179,105.5639728,0.069044019,0.003190509,-52.57985982,1.80500555,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3180,105.5690636,0.070817338,0.003363924,-52.57985982,1.617637396,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3181,105.57618,0.300849951,0.005226975,-52.57985982,5.100196838,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3182,105.6034188,2.266612325,0.002155688,-13.83023888,1.289697647,-13.83023888,2,0.2,0.2,0.2,5,0.5,none
3183,105.6044202,0.838668717,0.001995879,-3.93671864,2.170378923,-3.93671864,2,0.2,0.2,0.2,5,0.5,none
3184,105.6273644,0.340139077,0.007530317,-52.57985982,11.25109196,-52.57985982,2,0.2,0.2,0.2,5,0.5,none
3185,105.6691222,1.656209656,0.005684991,-22.8992991,3.0683074,-22.8992991,2,0.2,0.2,0.2,5,0.5,none
3186,105.70607,0.021956026,0.003771028,-57.52661994,0.722740412,-57.52661994,2,0.2,0.2,0.2,5,0.5,none
3187,105.7175967,1.760702201,0.006171011,-22.07483908,2.592137098,-22.07483908,2,0.2,0.2,0.2,5,0.5,none
3188,105.730696,1.762606213,0.00242105,-22.07483908,2.496951103,-22.07483908,2,0.2,0.2,0.2,5,0.5,none
3189,105.7438854,1.806951144,0.006126626,-22.07483908,1.617030859,-22.07483908,2,0.2,0.2,0.2,5,0.5,none
3190,105.7458482,1.811617443,0.005048497,-22.07483908,1.541358709,-22.07483908,2,0.2,0.2,0.2,5,0.5,none
3191,105.7566186,0.332563921,0.005117921,-53.40431984,3.081374168,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
3192,105.8067655,1.640672767,0.002031078,-22.8992991,2.682407618,-22.8992991,2,0.2,0.2,0.2,5,0.5,none
3193,105.8276028,2.91042787,0.003228084,-5.58563868,2.315218925,-5.58563868,2,0.2,0.2,0.2,5,0.5,none
3194,105.8357053,0.327141285,0.005432933,-50.93093978,3.427221537,-50.93093978,2,0.2,0.2,0.2,5,0.5,none
3195,105.8511529,0.139538249,0.006924359,-45.15971964,5.991672039,-45.15971964,2,0.2,0.2,0.2,5,0.5,none
3196,105.8893358,0.055872398,0.004605321,-59.17553998,1.147797704,-59.17553998,2,0.2,0.2,0.2,5,0.5,none
3197,105.9541437,0.486721737,0.003950573,-53.40431984,2.789563417,-53.40431984,2,0.2,0.2,0.2,5,0.5,none
