YB,GLON,GLAT,r,Vstrongest (km/s),g amplitude,g velocity,g stddev,uncertamp,uncertgvel,uncertstd,Good fit,Multiple emission line
1288,32.27117125,-0.226111453,0.005170976,22.67515563963852,0.6193865676268728,21.9375067743962,1.885291693001012,0.02708271615206844,0.09520105903753301,0.09520105903753301,,
1289,32.30573485,0.374077641,0.00231564,10.13554000853482,0.5548437416553498,9.928484402486726,0.2175181712404905,0.11323378341361708,0.593414472084596,0.5931778373290314,,
1290,32.31820651,-0.384156195,0.004921569,36.06491470335942,0.8946973900242496,36.08750795714939,1.1796053007098066,0.04149072498080235,0.06315085713101722,0.06315085713101726,,
1291,32.32323692,0.780839606,0.00268055,23.95037078856432,0.7975442424416542,24.0277235670674,0.7332991909617859,0.03536618401016858,0.0784935662661961,0.07849356626619618,,
1292,32.32746641,0.2558036,0.001739206,10.34807586668912,1.307081973552704,10.090018855704413,0.6552270746682938,0.08131678713911085,0.5155267068460692,0.5155267068460693,,
1293,32.40008716,-0.328267141,0.002382407,10.34807586668912,0.437827592343092,10.42719588617812,0.5623316058083873,0.06548321885244376,6.639480285024729,6.639480285024735,,
1294,32.40419271,0.162290035,0.002253981,44.566349029531416,1.2414286315441132,44.835302104170445,1.5689775233553087,0.04805303609654909,0.08261480713839894,0.08261480713839894,,
1295,32.42236569,0.078306821,0.004279085,42.01591873167982,2.1878140957790766,41.92485175850421,1.5470957814886883,0.05053588866224712,0.04126505534129367,0.04126505534129366,,
1296,32.4368631,0.416077649,0.00514662,49.87974548338892,1.0642281472682953,49.42879795591992,0.8948037169306956,0.03655929347694324,0.04798912295857468,0.04798912295857462,,
1297,32.45818191,0.226066752,0.003754785,50.51735305785182,2.1385970234870912,50.24046361814786,1.7901414933617594,0.0599328965017539,0.10104379645913404,0.10104379645913401,,
1298,32.45822771,0.385581835,0.004142387,49.45467376708032,1.7194558918476106,49.46010981100947,1.2971732348983622,0.051027632607611874,0.04493178547146623,0.04493178547146619,,
1299,32.46353232,0.194109719,0.002693496,50.30481719969752,2.2654363334713965,50.1980239149969,1.7242055782873265,0.05941136597100358,0.05221785712894417,0.052217857128944174,,
1300,32.46622382,0.200427319,0.002091182,50.09228134154322,2.544021746119693,50.16357365478415,1.6796057550061922,0.06169052039383176,0.04703068173762117,0.047030681737621156,,
1301,32.473514,0.205644478,0.003119497,49.45467376708032,2.672306583905019,49.872545322474,1.884642206713257,0.05618258257270242,0.04575562014097373,0.04575562014097374,,
1302,32.50756352,0.842581872,0.004413881,,0.280065144225955,34.30813003108327,0.2340863571915453,0.09226813028943288,0.11041528874420305,0.110242057133859,,
1303,32.57647732,-0.623062777,0.003225014,42.22845458983412,1.043927899003029,42.35144450689927,0.9868331950940772,0.043738726852476685,0.05836509363300274,0.05836509363300268,,
1304,32.57798664,0.41915333,0.001896861,9.71046829222622,1.0391911044716835,9.629260818602276,0.5829871968522463,0.05084498693450166,0.10519065477245718,0.10519065477245723,,
1305,32.60104944,-0.251384074,0.004031595,90.04902267455161,3.245232328617237,90.22288868804634,1.1774862337929004,0.0556297335325337,0.023307434560965616,0.023307434560965647,,
1306,32.61053412,-0.240903175,0.003790425,89.83648681639731,3.682136977714449,89.99739729898627,1.2725342723157993,0.06356870326736025,0.025368217742228298,0.025368217742228315,,
1307,32.62680708,-0.101973384,0.003227636,33.51448440550782,1.261514461040497,34.00850676156999,2.0,0.06064234470138709,0.18623547628201018,0.18623547628201015,,
